year,pop,country,other_energycompile_price,electricitycompile_price,electricitycompile_peakprice
2020,0.12292798,ABW,0.04956956995070557,0.0664139096311187,0.34966605024005065
2021,0.1239459376,ABW,0.05026354393001545,0.06734370436595437,0.3545613749434114
2022,0.12496389520000001,ABW,0.05096723354503566,0.06828651622707774,0.35952523419261917
2023,0.12598185280000002,ABW,0.05168077481466616,0.06924252745425682,0.36455858747131586
2024,0.1269998104,ABW,0.052404305662071486,0.07021192283861642,0.3696624076959143
2025,0.128017768,ABW,0.05313796594134049,0.07119488975835706,0.3748376814036571
2026,0.12887969,ABW,0.053881897464519254,0.07219161821497405,0.3800854089433083
2027,0.129741612,ABW,0.05463624402902253,0.0732023008699837,0.3854066046685146
2028,0.130603534,ABW,0.05540115144542884,0.07422713308216347,0.3908022971338738
2029,0.131465456,ABW,0.056176767565664844,0.07526631294531376,0.39627352929374804
2030,0.132327378,ABW,0.05696324231158415,0.07632004132654815,0.40182135870386054
2031,0.1329862112,ABW,0.05776072770394633,0.07738852190511983,0.4074468577257146
2032,0.1336450444,ABW,0.058569377891801576,0.07847196121179151,0.4131511137338746
2033,0.1343038776,ABW,0.0593893491822868,0.07957056866875659,0.41893522932614885
2034,0.1349627108,ABW,0.06022080007083881,0.08068455663011918,0.42480032253671496
2035,0.135621544,ABW,0.06106389127183055,0.08181414042294086,0.43074752705222896
2036,0.1361629526,ABW,0.061918785749636183,0.08295953838886203,0.43677799243096016
2037,0.1367043612,ABW,0.0627856487501311,0.08412097192630609,0.44289288432499363
2038,0.1372457698,ABW,0.06366464783263293,0.08529866553327438,0.44909338470554355
2039,0.13778717840000002,ABW,0.06455595290228978,0.08649284685074023,0.4553806920914212
2040,0.138328587,ABW,0.06545973624292184,0.08770374670665058,0.4617560217807011
2041,0.1388471154,ABW,0.06637617255032274,0.08893159916054369,0.4682206060856309
2042,0.1393656438,ABW,0.06730543896602727,0.0901766415487913,0.4747756945708297
2043,0.13988417220000002,ABW,0.06824771511155164,0.09143911453047439,0.4814225542948213
2044,0.1404027006,ABW,0.06920318312311337,0.09271926213390103,0.4881624700549488
2045,0.140921229,ABW,0.07017202768683696,0.09401733180377564,0.4949967446357181
2046,0.1414935426,ABW,0.07115443607445268,0.0953335744490285,0.5019266990606182
2047,0.1420658562,ABW,0.07215059817949503,0.0966682444913149,0.5089536728474668
2048,0.1426381698,ABW,0.07316070655400796,0.09802159991419332,0.5160790242673314
2049,0.1432104834,ABW,0.07418495644576407,0.09939390231299203,0.523304130607074
2050,0.143782797,ABW,0.07522354583600477,0.10078541694537392,0.5306303884355731
2051,0.1444171416,ABW,0.07627667547770883,0.10219641278260916,0.5380592138736711
2052,0.1450514862,ABW,0.07734454893439675,0.10362716256156569,0.5455920428679024
2053,0.1456858308,ABW,0.07842737261947831,0.10507794283742761,0.553230331468053
2054,0.1463201754,ABW,0.079525355836151,0.10654903403715159,0.5609755561086057
2055,0.14695452,ABW,0.08063871081785712,0.10804072051367171,0.5688292138941262
2056,0.147649733,ABW,0.08176765276930711,0.10955329060086312,0.576792822888644
2057,0.148344946,ABW,0.08291239990807742,0.1110870366692752,0.584867922409085
2058,0.149040159,ABW,0.0840731735067905,0.11264225518264506,0.5930560733228122
2059,0.149735372,ABW,0.08525019793588556,0.11421924675520209,0.6013588583493316
2060,0.150430585,ABW,0.08644370070698797,0.11581831620977492,0.6097778823662222
2061,0.15109114740000001,ABW,0.0876539125168858,0.11743977263671178,0.6183147727193493
2062,0.1517517098,ABW,0.0888810672921222,0.11908392945362574,0.6269711795374202
2063,0.1524122722,ABW,0.09012540223421191,0.1207511044659765,0.6357487760509442
2064,0.15307283459999999,ABW,0.09138715786549087,0.12244161992850018,0.6446492589156574
2065,0.153733397,ABW,0.09266657807560774,0.12415580260749919,0.6536743485404766
2066,0.1543518438,ABW,0.09396391016866625,0.1258939838440042,0.6628257894200432
2067,0.1549702906,ABW,0.09527940491102757,0.12765649961782025,0.6721053504719239
2068,0.15558873739999998,ABW,0.09661331657978196,0.12944369061246974,0.6815148253785308
2069,0.1562071842,ABW,0.0979659030118989,0.1312559022810443,0.6910560329338302
2070,0.156825631,ABW,0.09933742565406549,0.13309348491297893,0.7007308173949038
2071,0.15741771059999998,ABW,0.1007281496132224,0.13495679370176064,0.7105410488384325
2072,0.1580097902,ABW,0.10213834370780753,0.1368461888135853,0.7204886235221706
2073,0.1586018698,ABW,0.10356828051971684,0.1387620354569755,0.730575464251481
2074,0.1591939494,ABW,0.10501823644699287,0.14070470395337314,0.7408035207510018
2075,0.159786029,ABW,0.10648849175725078,0.14267456980872037,0.7511747700415158
2076,0.1603556506,ABW,0.10797933064185229,0.14467201378604247,0.7616912168220971
2077,0.1609252722,ABW,0.10949104127083822,0.14669742197904706,0.7723548938576065
2078,0.1614948938,ABW,0.11102391584862996,0.14875118588675373,0.783167862371613
2079,0.1620645154,ABW,0.11257825067051078,0.15083370248916828,0.7941322124448156
2080,0.162634137,ABW,0.11415434617989793,0.15294537432401664,0.805250063419043
2081,0.1631722046,ABW,0.11575250702641651,0.15508660956455286,0.8165235643069096
2082,0.1637102722,ABW,0.11737304212478634,0.1572578220984566,0.8279548942072064
2083,0.1642483398,ABW,0.11901626471453336,0.159459431607835,0.8395462627261072
2084,0.1647864074,ABW,0.12068249242053683,0.16169186365034469,0.8512999104042728
2085,0.165324475,ABW,0.12237204731442435,0.16395554974144952,0.8632181091499326
2086,0.1658143976,ABW,0.12408525597682629,0.16625092743782982,0.8753031626780317
2087,0.1663043202,ABW,0.12582244956050187,0.16857844042195944,0.8875574069555241
2088,0.1667942428,ABW,0.1275839638543489,0.17093853858786687,0.8999832106529014
2089,0.1672841654,ABW,0.12937013934830977,0.173331678128097,0.912582975602042
2090,0.167774088,ABW,0.1311813212991861,0.17575832162189037,0.9253591372604707
2091,0.1681983168,ABW,0.1330178597973747,0.17821893812459683,0.9383141651821173
2092,0.1686225456,ABW,0.13488010983453796,0.1807140032583412,0.951450563494667
2093,0.1690467744,ABW,0.1367684313722215,0.18324399930395796,0.9647708713835923
2094,0.1694710032,ABW,0.1386831894114326,0.18580941529421338,0.9782776635829626
2095,0.169895232,ABW,0.14062475406319266,0.18841074710833236,0.9919735508731241
2096,0.170237764,ABW,0.14259350062007736,0.19104849756784903,1.005861180585348
2097,0.17058029600000002,ABW,0.14458980962875845,0.19372317653379892,1.0199432371135428
2098,0.170922828,ABW,0.14661406696356108,0.1964353010052721,1.0342224424331325
2099,0.17126536,ABW,0.14866666390105093,0.19918539521934592,1.0487015566271964
2020,41.88610312,AFG,0.04956956995070557,0.056926208255244616,0.34966605024005065
2021,43.243687460000004,AFG,0.05026354393001545,0.05772317517081804,0.3545613749434114
2022,44.6012718,AFG,0.05096723354503566,0.05853129962320949,0.35952523419261917
2023,45.95885614,AFG,0.05168077481466616,0.05935073781793443,0.36455858747131586
